path,sentence
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_091112.wav,Oscar Kilo Papa Mike Bravo descend flight level one hundred level one hundred Oscar Kilo Papa Mike Bravo 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_120512.wav,Oscar Kilo Kilo Echo Alfa Praha Radar identified climb flight level one hundred IFR flight starts  now time zero five cleared to destination via flight plan route 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_121325.wav,Ryanair Seven Three Alpha Hotel turn left heading three six zero Ryanair Seven Three Alpha Hotel 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_130407.wav,Oscar Kilo Kilo Uniform November proceed direct Baltu proceed direct Baltu Oscar Kilo Kilo Uniform November 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_140929.wav,Eurowings Seven Alfa Bravo turn right heading two one zero cleared ILS approach runway two four report established heading(-ding)  two one zero cleared for the ILS two four report established Eurowings Seven Alpha Bravo 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_161808.wav,Oscar Mike Papa turn right heading zero two zero cleared ILS approach runway zero six speed maximum one six zero knots right heading zero two zero cleared ILS approach zero six and maximum one six zero speed confirm I do confirm 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_174652.wav, good evening Lufthansa Eight Hotel Romeo passing two thousand five hundred climbing five thousand Lufthansa Eight Hotel Romeo  Praha Radar good evening identified climb to flight level one six zero Lufthansa Eight Hotel Romeo climb flight level one six zero 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201025_213836.wav,Skytravel Two Eight Two Seven and there is closed echo airspace below flight level one hundred so  if you wish to avoid class echo airspace next descend in two zero miles 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201026_105217.wav,Speedbird Eight Five Five Praha Radar identified climb flight level one six zero one six zero Speedbird Eight Five Five 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201026_105855.wav,Skytravel Three Five Juliett turn right heading one eight zero vectoring for spacing  turning right heading one eight zero Skytravel Three Five Juliett 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201026_114352.wav,Oscar Kilo Papa Romeo Mike turn right heading zero six zero zero six zero right turn Oscar Papa Romeo Mike 
/home/datascience/atco2-data/ATCO2-ASRdataset-v1_beta/DATA/LKPR_RUZYNE_Radar_120_520MHz_20201026_130708.wav,Air France One Zero Eight Zulu standby now descend to  descend flight level seven zero Air France One Zero Eight Zulu 
