airport,sentence
LKPR_RUZYNE,Oscar Kilo Papa Mike Bravo descend flight level one hundred level one hundred Oscar Kilo Papa Mike Bravo 
LKPR_RUZYNE,Oscar Kilo Kilo Echo Alfa Praha Radar identified climb flight level one hundred IFR flight starts  now time zero five cleared to destination via flight plan route 
LKPR_RUZYNE,Ryanair Seven Three Alpha Hotel turn left heading three six zero Ryanair Seven Three Alpha Hotel 
LKPR_RUZYNE,Oscar Kilo Kilo Uniform November proceed direct Baltu proceed direct Baltu Oscar Kilo Kilo Uniform November 
LKPR_RUZYNE,Eurowings Seven Alfa Bravo turn right heading two one zero cleared ILS approach runway two four report established heading(-ding)  two one zero cleared for the ILS two four report established Eurowings Seven Alpha Bravo 
LKPR_RUZYNE,Oscar Mike Papa turn right heading zero two zero cleared ILS approach runway zero six speed maximum one six zero knots right heading zero two zero cleared ILS approach zero six and maximum one six zero speed confirm I do confirm 
LKPR_RUZYNE, good evening Lufthansa Eight Hotel Romeo passing two thousand five hundred climbing five thousand Lufthansa Eight Hotel Romeo  Praha Radar good evening identified climb to flight level one six zero Lufthansa Eight Hotel Romeo climb flight level one six zero 
LKPR_RUZYNE,Skytravel Two Eight Two Seven and there is closed echo airspace below flight level one hundred so  if you wish to avoid class echo airspace next descend in two zero miles 
LKPR_RUZYNE,Speedbird Eight Five Five Praha Radar identified climb flight level one six zero one six zero Speedbird Eight Five Five 
LKPR_RUZYNE,Skytravel Three Five Juliett turn right heading one eight zero vectoring for spacing  turning right heading one eight zero Skytravel Three Five Juliett 
LKPR_RUZYNE,Oscar Kilo Papa Romeo Mike turn right heading zero six zero zero six zero right turn Oscar Papa Romeo Mike 
LKPR_RUZYNE,Air France One Zero Eight Zulu standby now descend to  descend flight level seven zero Air France One Zero Eight Zulu 
LKPR_RUZYNE,Ryanair Nine Two Bravo Quebec turn right heading zero nine zero nine zero degrees Ryanair Nine Two Bravo Quebec 
LKPR_RUZYNE,Radar  dobre odpoledne  Sky Travel Four Three Two Papa passing nineteen hundred climbing to five thousand Sky Travel Four Three Two Papa  dobre odpoledne  Praha Radar identified climb flight level one six zero climb to flight level one six zero Sky Travel Four Three Two Papa 
LKPR_RUZYNE,Oscar Kilo Triple Hotel please confirm one more holding Oscar Kilo Hotel Hotel Hotel affirm one holding and then it should be possible to follow ILS runway zero six roger thank you 
LKPR_RUZYNE,Radar CSA One Delta Zulu established CSA One Delta Zulu roger contact Ruzyne Tower one three four decimal five six zero  three four five six zero CSA One Delta Zulu pekný deň 
LKPR_RUZYNE,UPS Two Nine Five established UPS Two Nine Five contact tower frequency one three four five six zero bye UPS Two Nine Five good night 
LKPR_RUZYNE,KLM Seven Three Whiskey maintain present heading for vectoring for ILS approach runway two four and reduce your speed now below two six zero knots 
LKPR_RUZYNE,Oscar Kilo Uniform Tango Charlie re- release from frequency flying information service available at one two six decimal one Praha Information  dobrý den  
LKPR_RUZYNE,one one eight decimal one   Six Five Zero that's it bye bye děkujem na slyšenou na slyšenou 
LKPR_RUZYNE,Oscar Kilo Tango Oscar Papa proceed direct Lanux  direct Lanux Oscar Kilo Tango Oscar Papa 
LKPR_RUZYNE,Oscar Uniform Romeo turn left heading two seven zero cleared for ILS approach runway two four turn left to seven zero cleared for ILS runway two four Oscar Uniform Romeo 
LKPR_RUZYNE,Lufthansa Niner Tango Papa contact Praha Radar one two zero decimal two seven five bye bye Lufthansa Nine Tango Papa two zero two seven five bye 
LKPR_RUZYNE,Praha Radar Oscar Kilo Uniform Tango Charlie  dobrý den   passing three thousand nine hundred climbing flight level seven zero inbound Vlasim ready for IFR Oscar Kilo Uniform Tango Charlie  dobrý den  Praha Radar identified climb flight level seven zero and cleared to  destination Benesov via flight plan route IFR flight starts now time one three one four 
LKPR_RUZYNE,CSA One Delta Zulu descend flight level one hundred no speed restrictions descending flight level one hundred  free speed CSA One Delta Zulu 
LKPR_RUZYNE,KLM One Three Five Zero sorry go ahead yeah contact radar one two zero two seven five ahoj one two zero two seven five ahoj KLM One Three Five Zero 
LKPR_RUZYNE,Oscar Kilo Tango Uniform Romeo Praha Radar hello identified climb to flight level seven zero and standby for IFR climbing to flight level seven zero Oscar Kilo Tango Uniform Romeo 
LKPR_RUZYNE,Lufthansa Nine Tango Papa contact Praha radar one two zero decimal two seven five good bye one two zero two seventy five bye-bye Nine Tango Papa 
LKPR_RUZYNE,Oscar Kilo Mike Charlie Charlie Praha Radar  dobry den  you are identified flight level seven zero after Baltu proceed to Benesov 
LKPR_RUZYNE,Timeair Six Niner Zero Juliett contact Ruzyne Tower one three four decimal five six zero  hezký večer ahoj  one three four five six zero Timeair Six Niner Zero Juliett bye  díky  
LKPR_RUZYNE,and KLM Seven Three Whiskey reduce speed one six zero knots till four DME sixty to four DME KLM Seven Three Whiskey 
LKPR_RUZYNE,say again the departure we for us it is Baltu four alfa to climb  five thousand feet 
LKPR_RUZYNE,Ryan Air Seven Romeo Mike route reaching and holding runway two four we are ready for departure Ryan Air seven Romeo Mike line up runway two four line up and wait runway two four Ryan Air Seven Romeo Mike 
